,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_community_area,dropoff_community_area,fare,tip,additional_charges,shared_trip_authorized,trips_pooled,pickup_centroid_location,dropoff_centroid_location,date
119893,2019-07-01 15:45:00,2019-07-01T16:00:00.000,1517,14.60358056,49,8,30,0,7.55,False,1,"{'type': 'Point', 'coordinates': [-87.6233665115, 41.7065878819]}","{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",2019-07-01
100423,2019-07-01 14:00:00,2019-07-01T14:15:00.000,1120,6.95130434656,3,8,10,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6558787862, 41.96581197]}","{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",2019-07-01
172401,2019-07-01 20:15:00,2019-07-01T20:30:00.000,528,1.992832,28,8,5,1,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6429586652, 41.8679024175]}","{'type': 'Point', 'coordinates': [-87.6318639497, 41.8920421365]}",2019-07-01
82329,2019-07-01 12:00:00,2019-07-01T12:15:00.000,980,4.96894596416,77,5,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6634164054, 41.9867117999]}","{'type': 'Point', 'coordinates': [-87.6838349425, 41.9477915865]}",2019-07-01
148706,2019-07-01 18:15:00,2019-07-01T18:45:00.000,1440,5.776235,32,7,0,0,0.72,True,2,"{'type': 'Point', 'coordinates': [-87.6327464887, 41.8809944707]}","{'type': 'Point', 'coordinates': [-87.6738072384, 41.9292725315]}",2019-07-01
175159,2019-07-01 20:30:00,2019-07-01T20:45:00.000,825,6.36591826624,32,61,10,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6251921424, 41.8788655841]}","{'type': 'Point', 'coordinates': [-87.6591665992, 41.8090182499]}",2019-07-01
49353,2019-07-01 08:45:00,2019-07-01T09:00:00.000,844,2.366719,8,28,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6321092196, 41.9002656868]}","{'type': 'Point', 'coordinates': [-87.6572331997, 41.8852813201]}",2019-07-01
18072,2019-07-01 05:00:00,2019-07-01T05:30:00.000,1351,15.165097,6,76,20,0,7.55,False,1,"{'type': 'Point', 'coordinates': [-87.6612652184, 41.936159071]}","{'type': 'Point', 'coordinates': [-87.9030396611, 41.9790708201]}",2019-07-01
97887,2019-07-01 13:45:00,2019-07-01T13:45:00.000,568,1.306109,32,8,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6209929134, 41.8849871918]}","{'type': 'Point', 'coordinates': [-87.6318639497, 41.8920421365]}",2019-07-01
11336,2019-07-01 02:15:00,2019-07-01T02:30:00.000,678,6.137394,8,3,10,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6318639497, 41.8920421365]}","{'type': 'Point', 'coordinates': [-87.6603894557, 41.958055933]}",2019-07-01
89673,2019-07-01 12:45:00,2019-07-01T13:00:00.000,1147,5.12119605936,71,70,12.5,0,0,True,1,"{'type': 'Point', 'coordinates': [-87.6563059862, 41.7442051463]}","{'type': 'Point', 'coordinates': [-87.7083657043, 41.7457577128]}",2019-07-01
