,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_community_area,dropoff_community_area,fare,tip,additional_charges,shared_trip_authorized,trips_pooled,pickup_centroid_location,dropoff_centroid_location,date
208531,2019-09-01 19:15:00,2019-09-01T19:30:00.000,1035,4.27045981312,6,16,10,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6568039088, 41.9491397709]}","{'type': 'Point', 'coordinates': [-87.7308987849, 41.9572641084]}",2019-09-01
55406,2019-09-01 05:00:00,2019-09-01T05:15:00.000,849,5.48597485888,6,24,15,0,0,True,3,"{'type': 'Point', 'coordinates': [-87.6568039088, 41.9491397709]}","{'type': 'Point', 'coordinates': [-87.6647458359, 41.8924931672]}",2019-09-01
97464,2019-09-01 11:30:00,2019-09-01T11:45:00.000,993,4.81793872688,33,24,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6173580061, 41.859349715]}","{'type': 'Point', 'coordinates': [-87.6709450752, 41.9083786693]}",2019-09-01
45640,2019-09-01 03:15:00,2019-09-01T03:30:00.000,980,4.683007,8,6,10,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6262149064, 41.8925077809]}","{'type': 'Point', 'coordinates': [-87.6430228044, 41.9345397158]}",2019-09-01
107204,2019-09-01 12:15:00,2019-09-01T12:30:00.000,461,1.514134,8,8,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6378442095, 41.8932163595]}","{'type': 'Point', 'coordinates': [-87.6266589003, 41.9075200747]}",2019-09-01
8847,2019-09-01 00:15:00,2019-09-01T00:30:00.000,394,3.646793,22,28,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6750951155, 41.9160052737]}","{'type': 'Point', 'coordinates': [-87.642648998, 41.8792550844]}",2019-09-01
43185,2019-09-01 02:45:00,2019-09-01T03:00:00.000,738,3.922556,7,24,15,0,2.85,False,1,"{'type': 'Point', 'coordinates': [-87.6462934762, 41.9290776551]}","{'type': 'Point', 'coordinates': [-87.6598643178, 41.8925368719]}",2019-09-01
177992,2019-09-01 17:15:00,2019-09-01T17:30:00.000,1402,10.292349,32,43,17.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6327464887, 41.8809944707]}","{'type': 'Point', 'coordinates': [-87.5711847386, 41.755301636]}",2019-09-01
262053,2019-09-01 22:45:00,2019-09-01T22:45:00.000,367,1.498853,6,5,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6566440918, 41.9425851797]}","{'type': 'Point', 'coordinates': [-87.6808269032, 41.9413656601]}",2019-09-01
162742,2019-09-01 16:15:00,2019-09-01T16:30:00.000,300,1.118226,33,32,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6173580061, 41.859349715]}","{'type': 'Point', 'coordinates': [-87.6219716519, 41.8774061234]}",2019-09-01
275434,2019-09-01 23:45:00,2019-09-02T00:00:00.000,530,2.68022310448,42,69,7.5,0,0,True,1,"{'type': 'Point', 'coordinates': [-87.5949254391, 41.7788768603]}","{'type': 'Point', 'coordinates': [-87.6161341112, 41.7632467988]}",2019-09-01
136063,2019-09-01 14:30:00,2019-09-01T14:45:00.000,1306,2.601738,43,43,10,3,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.5727819867, 41.7615779081]}","{'type': 'Point', 'coordinates': [-87.5727819867, 41.7615779081]}",2019-09-01
252158,2019-09-01 22:15:00,2019-09-01T22:30:00.000,801,3.204807,7,24,7.5,1,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6317173661, 41.9146162864]}","{'type': 'Point', 'coordinates': [-87.6747191345, 41.8995897957]}",2019-09-01
75915,2019-09-01 09:45:00,2019-09-01T10:00:00.000,955,10.859685,76,16,15,5,7.55,False,1,"{'type': 'Point', 'coordinates': [-87.913624596, 41.9802643146]}","{'type': 'Point', 'coordinates': [-87.7234523905, 41.9535821253]}",2019-09-01
126647,2019-09-01 13:45:00,2019-09-01T14:15:00.000,1644,7.110379,35,24,15,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6220364612, 41.8420111804]}","{'type': 'Point', 'coordinates': [-87.6649539167, 41.8997373884]}",2019-09-01
32900,2019-09-01 02:00:00,2019-09-01T02:15:00.000,713,3.526375,22,6,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6999685912, 41.9284315635]}","{'type': 'Point', 'coordinates': [-87.6616429039, 41.9490605256]}",2019-09-01
111391,2019-09-01 12:30:00,2019-09-01T12:30:00.000,396,1.46497,6,7,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6517705068, 41.9426918444]}","{'type': 'Point', 'coordinates': [-87.6640782395, 41.9218774613]}",2019-09-01
76920,2019-09-01 09:45:00,2019-09-01T10:00:00.000,760,7.677344,50,53,12.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.5982558383, 41.7061257523]}","{'type': 'Point', 'coordinates': [-87.6357397768, 41.6738199043]}",2019-09-01
64028,2019-09-01 07:45:00,2019-09-01T08:00:00.000,1482,18.250209,76,8,22.5,0,7.55,False,1,"{'type': 'Point', 'coordinates': [-87.9030396611, 41.9790708201]}","{'type': 'Point', 'coordinates': [-87.6318639497, 41.8920421365]}",2019-09-01
51775,2019-09-01 04:15:00,2019-09-01T04:15:00.000,472,1.09495782752,8,8,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6318639497, 41.8920421365]}","{'type': 'Point', 'coordinates': [-87.6261455896, 41.9027880476]}",2019-09-01
205171,2019-09-01 19:00:00,2019-09-01T19:15:00.000,321,1.472531,22,22,5,3,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6991553432, 41.9227606205]}","{'type': 'Point', 'coordinates': [-87.6991553432, 41.9227606205]}",2019-09-01
80708,2019-09-01 10:15:00,2019-09-01T10:30:00.000,414,1.364375,32,28,5,3,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6209929134, 41.8849871918]}","{'type': 'Point', 'coordinates': [-87.6572331997, 41.8852813201]}",2019-09-01
236438,2019-09-01 21:15:00,2019-09-01T21:15:00.000,287,1.049236,7,7,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6513108767, 41.9290469366]}","{'type': 'Point', 'coordinates': [-87.6559118484, 41.9217014922]}",2019-09-01
157807,2019-09-01 16:00:00,2019-09-01T16:15:00.000,1142,3.617851,8,24,10,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6207628651, 41.8983317935]}","{'type': 'Point', 'coordinates': [-87.6753116216, 41.906025969]}",2019-09-01
159986,2019-09-01 16:15:00,2019-09-01T16:30:00.000,801,3.539029,6,77,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6661106945, 41.9360865352]}","{'type': 'Point', 'coordinates': [-87.6641882421, 41.9799124453]}",2019-09-01
30958,2019-09-01 01:45:00,2019-09-01T02:00:00.000,816,2.448426,8,28,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6308650266, 41.9058577688]}","{'type': 'Point', 'coordinates': [-87.642648998, 41.8792550844]}",2019-09-01
83862,2019-09-01 10:30:00,2019-09-01T11:00:00.000,1070,6.418434,8,4,12.5,1,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6378442095, 41.8932163595]}","{'type': 'Point', 'coordinates': [-87.6765780714, 41.9651417087]}",2019-09-01
